Date,Item_Code,Quantity_Sold_kilo,Unit_Selling_Price,Sale_or_Return,Discount
29/06/2023,1.03E+14,1,6.8,sale,Yes
29/06/2023,1.03E+14,0.195,20,sale,No
29/06/2023,1.03E+14,0.245,9,sale,Yes
29/06/2023,1.03E+14,0.414,16,sale,Yes
29/06/2023,1.03E+14,0.278,18,sale,Yes
29/06/2023,1.03E+14,1,6.8,sale,No
29/06/2023,1.03E+14,0.401,12,sale,No
29/06/2023,1.03E+14,1,2.8,sale,No
29/06/2023,1.03E+14,1,3,sale,No
29/06/2023,1.03E+14,1,2.9,sale,Yes
29/06/2023,1.03E+14,0.545,8,sale,Yes
29/06/2023,1.03E+14,1,1.8,sale,Yes
29/06/2023,1.03E+14,1,4.1,sale,Yes
29/06/2023,1.03E+14,1,4.1,sale,Yes
29/06/2023,1.03E+14,0.451,14,sale,No
29/06/2023,1.03E+14,1,4.5,sale,Yes
29/06/2023,1.03E+14,0.639,16,sale,Yes
29/06/2023,1.03E+14,1,4.1,sale,Yes
29/06/2023,1.03E+14,1,4.1,sale,Yes
29/06/2023,1.03E+14,0.349,5.2,sale,No
29/06/2023,1.03E+14,1,4.5,sale,Yes
29/06/2023,1.03E+14,1,5.8,sale,No
29/06/2023,1.03E+14,1,2.7,sale,Yes
29/06/2023,1.03E+14,1,5.9,sale,No
29/06/2023,1.03E+14,1,2.7,sale,Yes
29/06/2023,1.03E+14,0.52,6,sale,No
29/06/2023,1.03E+14,1,1.2,sale,Yes
29/06/2023,1.03E+14,1,5.8,sale,No
29/06/2023,1.03E+14,1,2.7,sale,Yes
29/06/2023,1.03E+14,0.637,8.4,sale,Yes
29/06/2023,1.03E+14,1,2.7,sale,Yes
29/06/2023,1.03E+14,0.239,9,sale,Yes
29/06/2023,1.03E+14,0.46,12,sale,No
29/06/2023,1.03E+14,0.351,12,sale,No
29/06/2023,1.03E+14,0.21,12,sale,Yes
29/06/2023,1.03E+14,1,2.7,sale,Yes
29/06/2023,1.03E+14,1,3.3,sale,Yes
29/06/2023,1.03E+14,0.25,20,sale,No
29/06/2023,1.03E+14,1,5.9,sale,No
29/06/2023,1.03E+14,0.284,18,sale,Yes
29/06/2023,1.03E+14,1,1.7,sale,Yes
29/06/2023,1.03E+14,1,2.7,sale,Yes
29/06/2023,1.03E+14,0.527,12,sale,No
29/06/2023,1.03E+14,1,2.7,sale,Yes
29/06/2023,1.03E+14,1.057,11.2,sale,No
29/06/2023,1.03E+14,1,1.2,sale,Yes
29/06/2023,1.03E+14,1,2.7,sale,Yes
29/06/2023,1.03E+14,1,5.8,sale,No
29/06/2023,1.03E+14,0.284,12,sale,No
29/06/2023,1.03E+14,1,2.7,sale,Yes
29/06/2023,1.03E+14,1,2.7,sale,Yes
29/06/2023,1.03E+14,1,5.8,sale,No
29/06/2023,1.03E+14,0.233,5.2,sale,No
29/06/2023,1.03E+14,0.142,24,sale,No
29/06/2023,1.03E+14,1,2.7,sale,Yes
29/06/2023,1.03E+14,0.217,24,sale,No
29/06/2023,1.03E+14,1,5.8,sale,No
29/06/2023,1.03E+14,0.458,8.4,sale,Yes
29/06/2023,1.03E+14,0.627,12,sale,No
29/06/2023,1.03E+14,0.267,10.8,sale,Yes
29/06/2023,1.03E+14,1,5.5,sale,No
29/06/2023,1.03E+14,1,5.5,sale,No
29/06/2023,1.03E+14,0.451,13,sale,Yes
29/06/2023,1.03E+14,1,2.7,sale,Yes
29/06/2023,1.03E+14,1,2,sale,No
29/06/2023,1.03E+14,0.155,5.2,sale,No
29/06/2023,1.03E+14,0.252,5.2,sale,No
29/06/2023,1.03E+14,0.363,8,sale,Yes
29/06/2023,1.03E+14,1,2.3,sale,Yes
29/06/2023,1.03E+14,0.113,24,sale,No
29/06/2023,1.03E+14,0.556,11.2,sale,No
29/06/2023,1.03E+14,0.271,5.2,sale,No
29/06/2023,1.03E+14,1,5.8,sale,No
29/06/2023,1.03E+14,1,4.5,sale,No
29/06/2023,1.03E+14,0.407,5.2,sale,No
29/06/2023,1.03E+14,1,6.8,sale,No
29/06/2023,1.03E+14,0.269,16,sale,No
29/06/2023,1.03E+14,0.113,24,sale,No
29/06/2023,1.03E+14,0.273,18,sale,Yes
29/06/2023,1.03E+14,0.184,24,sale,No
29/06/2023,1.03E+14,1,5.8,sale,No
29/06/2023,1.03E+14,0.369,6,sale,No
29/06/2023,1.03E+14,0.389,8,sale,Yes
29/06/2023,1.03E+14,0.298,3.4,sale,No
29/06/2023,1.03E+14,0.369,6,sale,No
29/06/2023,1.03E+14,0.501,14,sale,No
29/06/2023,1.03E+14,1,5.9,sale,No
29/06/2023,1.03E+14,0.352,8,sale,No
29/06/2023,1.03E+14,0.234,12,sale,No
29/06/2023,1.03E+14,0.31,5.2,sale,No
29/06/2023,1.03E+14,0.262,9.2,sale,No
29/06/2023,1.03E+14,0.633,16,sale,No
29/06/2023,1.03E+14,0.302,6,sale,No
29/06/2023,1.03E+14,0.358,11.2,sale,No
29/06/2023,1.03E+14,0.721,16,sale,No
29/06/2023,1.03E+14,0.775,5.2,sale,No
29/06/2023,1.03E+14,2.242,14,sale,No
29/06/2023,1.03E+14,1,2,sale,No
29/06/2023,1.03E+14,1,4.5,sale,No
29/06/2023,1.03E+14,0.31,5.2,sale,No
29/06/2023,1.03E+14,0.354,4,sale,No
29/06/2023,1.03E+14,0.303,4,sale,No
29/06/2023,1.03E+14,0.465,8,sale,No
29/06/2023,1.07E+14,0.235,20,sale,No
29/06/2023,1.07E+14,1,2.8,sale,No
